,GO Primary Key,Council District,GO Highest Offense Desc,Highest NIBRS/UCR Offense Description,GO Report Date,GO Location,Clearance Status,Clearance Date,GO District,GO Location Zip,GO Census Tract,GO X Coordinate,GO Y Coordinate,latitude,longitude
72,20151810258,7,AGG ROBBERY/DEADLY WEAPON     ,Robbery,30-Jun-15,10001 N CAPITAL OF TEXAS HWY NB                                                                     ,,,A,78759,17.53,3114411,10115303,0,0
73,20155044184,7,THEFT                         ,Theft,6-Oct-15,10001 N CAPITAL OF TEXAS HWY NB                                                                     ,N,30-Nov-15,A,78759,17.53,3114411,10115303,0,0
74,2015391304,4,BURGLARY NON RESIDENCE        ,Burglary,8-Feb-15,10001 N IH 35 SVRD NB                                                                               ,N,25-Feb-15,E,78753,18.33,3132145,10106031,0,0
75,20151311454,4,BURG NON RESIDENCE SHEDS      ,Burglary,11-May-15,10001 N IH 35 SVRD NB                                                                               ,N,22-May-15,E,78753,18.33,3132145,10106031,0,0
76,20151340676,4,BURGLARY NON RESIDENCE        ,Burglary,14-May-15,10001 N IH 35 SVRD NB                                                                               ,N,22-Jun-15,E,78753,18.33,3132145,10106031,0,0
77,20151550612,4,BURGLARY NON RESIDENCE        ,Burglary,4-Jun-15,10001 N IH 35 SVRD NB                                                                               ,N,28-Sep-15,E,78753,18.33,3132145,10106031,0,0
78,20153381269,4,BURGLARY NON RESIDENCE        ,Burglary,4-Dec-15,10001 N IH 35 SVRD NB                                                                               ,N,4-Feb-16,E,78753,18.33,3132145,10106031,0,0
79,201580825,7,BURGLARY OF VEHICLE           ,Theft,8-Jan-15,10001 RESEARCH BLVD NB                                                                              ,N,13-Jan-15,A,78759,17.53,3112380,10115878,36.0054791,-78.940353
80,20155001735,7,THEFT BY SHOPLIFTING          ,Theft,13-Jan-15,10001 RESEARCH BLVD NB                                                                              ,N,14-Jan-15,A,78759,17.53,3112380,10115878,36.0054791,-78.940353
81,20151271687,7,AGG ROBBERY/DEADLY WEAPON     ,Robbery,7-May-15,10001 RESEARCH BLVD SVRD NB                                                                         ,N,19-Sep-15,A,78759,17.53,3112331,10115916,0,0
82,20155034547,7,BURGLARY OF VEHICLE           ,Theft,6-Aug-15,10001 RESEARCH BLVD SVRD NB                                                                         ,N,12-Aug-15,A,78759,17.53,3112331,10115916,0,0
83,2015141010,5,BURGLARY OF RESIDENCE         ,Burglary,14-Jan-15,10001 S 1ST ST                                                                                      ,N,22-Jan-15,F,78748,24.21,3097404,10031430,44.9830863,-93.2650114
84,2015540858,5,AUTO THEFT                    ,Auto Theft,23-Feb-15,10001 S 1ST ST                                                                                      ,N,5-Nov-15,F,78748,24.21,3097404,10031430,44.9830863,-93.2650114
85,2015670141,5,AUTO THEFT                    ,Auto Theft,8-Mar-15,10001 S 1ST ST                                                                                      ,N,5-May-15,F,78748,24.21,3097404,10031430,44.9830863,-93.2650114
86,2015940929,5,BURGLARY OF RESIDENCE         ,Burglary,4-Apr-15,10001 S 1ST ST                                                                                      ,N,8-Apr-15,F,78748,24.21,3097404,10031430,44.9830863,-93.2650114
87,20155025006,5,BURGLARY OF VEHICLE           ,Theft,10-Jun-15,10001 S 1ST ST                                                                                      ,N,12-Jun-15,F,78748,24.21,3097404,10031430,44.9830863,-93.2650114
88,20152020653,5,AUTO THEFT                    ,Auto Theft,21-Jul-15,10001 S 1ST ST                                                                                      ,N,21-Jul-15,F,78748,24.21,3097404,10031430,44.9830863,-93.2650114
89,20152150264,5,AGG ROBBERY/DEADLY WEAPON     ,Robbery,3-Aug-15,10001 S 1ST ST                                                                                      ,N,24-Aug-15,F,78748,24.21,3097404,10031430,44.9830863,-93.2650114
90,20155044047,5,BURGLARY OF VEHICLE           ,Theft,6-Oct-15,10001 S 1ST ST                                                                                      ,N,8-Oct-15,F,78748,24.21,3097404,10031430,44.9830863,-93.2650114
91,20153331326,5,BURGLARY OF RESIDENCE         ,Burglary,29-Nov-15,10001 S 1ST ST                                                                                      ,N,4-Dec-15,F,78748,24.21,3097404,10031430,44.9830863,-93.2650114
92,20153621525,5,BURGLARY OF RESIDENCE         ,Burglary,28-Dec-15,10001 S 1ST ST                                                                                      ,N,31-Dec-15,F,78748,24.21,3097404,10031430,44.9830863,-93.2650114
93,20153431262,5,AGG ROBBERY/DEADLY WEAPON     ,Robbery,9-Dec-15,10001 S IH 35 SVRD NB                                                                               ,C,24-Dec-15,F,78747,24.25,3100387,10029745,0,0
94,20155026497,4,BURGLARY OF VEHICLE           ,Theft,19-Jun-15,10002 CHUKAR CIR                                                                                    ,N,22-Jun-15,E,78758,18.21,3124314,10110430,30.376492,-97.70818381
95,20158002387,4,BURGLARY OF VEHICLE           ,Theft,9-Jul-15,10002 DORSET DR                                                                                     ,N,20-Jul-15,E,78753,18.33,3134739,10104868,51.6113255,-0.2852219
